Item,Product Link,Supplier,Price,Quantity
DC motor,https://s.lazada.sg/s.26akt,Lazada,1.80 SGD/pcs,1
Cardboard 20*30cm,https://s.lazada.sg/s.26aOH,Lazada,9.20 SGD/50pcs,3
4A paper 70g,https://s.lazada.sg/s.26amf,Lazada,6.90 SGD/500pcs,3
AA Battery casing,https://s.lazada.sg/s.26aPC,Lazada,0.97 SGD/pcs,1
Universal Wire connectors P2,https://s.lazada.sg/s.26ajD,Lazada,0.90 SGD/5pcs,3
3.5mm female mono audio jack cable,https://sg.shp.ee/sDdF9VP,Shopee,2.10 SGD/pcs,1
